image,image_type,method,yeast_label,area_px,centroid_y,centroid_x,mean_green_intensity,mean_red_intensity,red_overlap_area_px,red_overlap_fraction,red_positive_threshold,red_positive_by_intensity,red_positive_by_overlap_or_centroid,red_positive,red_centroids_inside_yeast,nearest_red_centroid_distance_px
yeast_cyano_2.czi,combined,watershed,19,115,129.1478260869565,496.7130434782609,154.2608695652174,4.817391304347826,7,0.06086956521739131,1.0,True,True,True,0,8.681809448834748
yeast_cyano_2.czi,combined,watershed,20,158,359.9367088607595,275.7151898734177,126.13291139240506,6.386075949367089,20,0.12658227848101267,1.0,True,True,True,1,3.0942473514780304
yeast_cyano_2.czi,combined,watershed,21,110,419.4727272727273,125.34545454545454,96.55454545454545,16.0,45,0.4090909090909091,1.0,True,True,True,0,9.95002741422537
yeast_cyano_2.czi,combined,watershed,22,256,115.52734375,298.953125,107.6171875,1.8203125,0,0.0,1.0,True,False,False,0,39.20360252286763
yeast_cyano_2.czi,combined,watershed,23,162,104.03086419753086,231.43827160493828,111.35802469135803,0.7469135802469136,0,0.0,1.0,False,False,False,0,48.92421802190458
yeast_cyano_2.czi,combined,watershed,24,103,268.15533980582524,210.27184466019418,88.96116504854369,4.601941747572815,4,0.038834951456310676,1.0,True,False,False,0,11.605420586655928
yeast_cyano_2.czi,combined,watershed,25,139,110.39568345323741,411.0647482014389,114.93525179856115,3.093525179856115,5,0.03597122302158273,1.0,True,True,True,0,13.024454083879505
yeast_cyano_2.czi,combined,watershed,26,93,128.86021505376345,218.56989247311827,108.90322580645162,0.978494623655914,0,0.0,1.0,False,False,False,0,21.970895520691492
yeast_cyano_2.czi,combined,watershed,27,61,128.14754098360655,231.2295081967213,105.08196721311475,2.3114754098360657,0,0.0,1.0,True,False,False,0,29.03529198274655
yeast_cyano_2.czi,combined,watershed,28,64,239.25,350.15625,98.8125,1.21875,0,0.0,1.0,True,False,False,0,36.37428654851861
yeast_cyano_2.czi,combined,watershed,29,64,436.375,206.921875,95.984375,1.28125,0,0.0,1.0,True,False,False,0,10.016429073962007
yeast_cyano_3.czi,combined,otsu_global,1,271,6.760147601476015,275.1660516605166,73.80442804428044,5.649446494464945,0,0.0,1.0,True,False,False,0,31.558866669218922
yeast_cyano_3.czi,combined,otsu_global,2,371,19.752021563342318,146.05390835579516,96.98652291105121,12.533692722371967,124,0.33423180592991913,1.0,True,True,True,1,1.6293064368387276
yeast_cyano_3.czi,combined,otsu_global,3,267,49.02621722846442,374.64044943820227,73.00374531835206,19.411985018726593,114,0.42696629213483145,1.0,True,True,True,1,2.200060138384852
yeast_cyano_3.czi,combined,otsu_global,4,700,118.05142857142857,25.27857142857143,118.99,6.351428571428571,100,0.14285714285714285,1.0,True,True,True,1,8.574338196630926
yeast_cyano_3.czi,combined,otsu_global,5,717,127.05020920502092,72.28451882845188,111.84379358437936,11.919107391910739,218,0.30404463040446306,1.0,True,True,True,1,6.330922514549567
yeast_cyano_3.czi,combined,otsu_global,6,359,122.27576601671309,498.0863509749304,93.03899721448468,12.81058495821727,122,0.3398328690807799,1.0,True,True,True,0,0.9732665124956962
yeast_cyano_3.czi,combined,otsu_global,7,200,133.655,184.265,164.945,8.475,46,0.23,1.0,True,True,True,1,1.4166230580040668
yeast_cyano_3.czi,combined,otsu_global,8,565,144.22477876106194,375.62300884955755,69.43008849557522,21.067256637168143,256,0.45309734513274336,1.0,True,True,True,1,1.463823968553398
